rule_name,object_id,constraint_type,property,class,expected,actual,severity,description,message,ERROR_MESSAGE
IdentifiedObject.mRID-cardinality,2a5a8815-9d1f-4a31-9aab-fefebe0afa9a,min_count,IdentifiedObject.mRID,ConnectivityNode,1,0.0,Violation,This constraint validates the cardinality of the property (attribute).,Cardinality violation. Upper bound shall be 1 or missing required property (mRID).,"Property IdentifiedObject.mRID has 0 values, minimum required is 1"
IdentifiedObject.mRID-cardinality,8e2c9d99-f689-4a32-b743-f4064c07b535,min_count,IdentifiedObject.mRID,ConnectivityNode,1,0.0,Violation,This constraint validates the cardinality of the property (attribute).,Cardinality violation. Upper bound shall be 1 or missing required property (mRID).,"Property IdentifiedObject.mRID has 0 values, minimum required is 1"
IdentifiedObject.name-cardinality,04f4d322-8b21-4ebb-9cba-a1afe92162ea,min_count,IdentifiedObject.name,ConnectivityNode,1,0.0,Violation,This constraint validates the cardinality of the property (attribute).,Cardinality violation. Upper bound shall be 1 or missing required property (name).,"Property IdentifiedObject.name has 0 values, minimum required is 1"
IdentifiedObject.name-cardinality,2a5a8815-9d1f-4a31-9aab-fefebe0afa9a,min_count,IdentifiedObject.name,ConnectivityNode,1,0.0,Violation,This constraint validates the cardinality of the property (attribute).,Cardinality violation. Upper bound shall be 1 or missing required property (name).,"Property IdentifiedObject.name has 0 values, minimum required is 1"
IdentifiedObject.name-cardinality,8e2c9d99-f689-4a32-b743-f4064c07b535,min_count,IdentifiedObject.name,ConnectivityNode,1,0.0,Violation,This constraint validates the cardinality of the property (attribute).,Cardinality violation. Upper bound shall be 1 or missing required property (name).,"Property IdentifiedObject.name has 0 values, minimum required is 1"
IdentifiedObject.shortName-datatype,758cfb1f-3703-426a-bc1f-1801ddd9d19d,datatype,IdentifiedObject.shortName,ConnectivityNode,xsd:string,,Violation,This constraint validates the datatype of the shortName.,The datatype is not literal or it violates the xsd datatype.,Value '<NA>' is not a valid xsd:string
IdentifiedObject.shortName-datatype,ceafce7b-5485-4cb8-9e06-c85ba137ffa9,datatype,IdentifiedObject.shortName,ConnectivityNode,xsd:string,,Violation,This constraint validates the datatype of the shortName.,The datatype is not literal or it violates the xsd datatype.,Value '<NA>' is not a valid xsd:string
IdentifiedObject.shortName-datatype,0617adcd-1448-498b-b6cc-71a4df78cc51,datatype,IdentifiedObject.shortName,ConnectivityNode,xsd:string,,Violation,This constraint validates the datatype of the shortName.,The datatype is not literal or it violates the xsd datatype.,Value '<NA>' is not a valid xsd:string
IdentifiedObject.shortName-datatype,a2ca87bb-9b25-455d-8a8c-a29933a84cef,datatype,IdentifiedObject.shortName,ConnectivityNode,xsd:string,,Violation,This constraint validates the datatype of the shortName.,The datatype is not literal or it violates the xsd datatype.,Value '<NA>' is not a valid xsd:string
IdentifiedObject.shortName-datatype,9c2788c0-6fdb-4463-b588-8e9b93c61946,datatype,IdentifiedObject.shortName,ConnectivityNode,xsd:string,,Violation,This constraint validates the datatype of the shortName.,The datatype is not literal or it violates the xsd datatype.,Value '<NA>' is not a valid xsd:string
IdentifiedObject.shortName-datatype,636b98c2-ed10-4b29-af38-a6078d23f6f7,datatype,IdentifiedObject.shortName,ConnectivityNode,xsd:string,,Violation,This constraint validates the datatype of the shortName.,The datatype is not literal or it violates the xsd datatype.,Value '<NA>' is not a valid xsd:string
ConnectivityNode.ConnectivityNodeContainer-cardinality,04f4d322-8b21-4ebb-9cba-a1afe92162ea,min_count,ConnectivityNode.ConnectivityNodeContainer,ConnectivityNode,1,0.0,Violation,This constraint validates the cardinality of the association at the used direction.,Cardinality violation. Upper bound shall be 1 or missing required association.,"Property ConnectivityNode.ConnectivityNodeContainer has 0 values, minimum required is 1"
ConnectivityNode.ConnectivityNodeContainer-cardinality,2a5a8815-9d1f-4a31-9aab-fefebe0afa9a,min_count,ConnectivityNode.ConnectivityNodeContainer,ConnectivityNode,1,0.0,Violation,This constraint validates the cardinality of the association at the used direction.,Cardinality violation. Upper bound shall be 1 or missing required association.,"Property ConnectivityNode.ConnectivityNodeContainer has 0 values, minimum required is 1"
ConnectivityNode.ConnectivityNodeContainer-cardinality,8e2c9d99-f689-4a32-b743-f4064c07b535,min_count,ConnectivityNode.ConnectivityNodeContainer,ConnectivityNode,1,0.0,Violation,This constraint validates the cardinality of the association at the used direction.,Cardinality violation. Upper bound shall be 1 or missing required association.,"Property ConnectivityNode.ConnectivityNodeContainer has 0 values, minimum required is 1"
ConnectivityNode.ConnectivityNodeContainer-cardinality,b8857dca-1c00-ae4b-5fd5-80baaf9ce97f,min_count,ConnectivityNode.ConnectivityNodeContainer,ConnectivityNode,1,0.0,Violation,This constraint validates the cardinality of the association at the used direction.,Cardinality violation. Upper bound shall be 1 or missing required association.,"Property ConnectivityNode.ConnectivityNodeContainer has 0 values, minimum required is 1"
ConnectivityNode.ConnectivityNodeContainer-cardinality,23024d22-54e3-f4c0-40aa-367bbd3f76f8,min_count,ConnectivityNode.ConnectivityNodeContainer,ConnectivityNode,1,0.0,Violation,This constraint validates the cardinality of the association at the used direction.,Cardinality violation. Upper bound shall be 1 or missing required association.,"Property ConnectivityNode.ConnectivityNodeContainer has 0 values, minimum required is 1"
ConnectivityNode.ConnectivityNodeContainer-cardinality,3f5af4d3-5943-dfd0-1c61-de4f3fd11070,min_count,ConnectivityNode.ConnectivityNodeContainer,ConnectivityNode,1,0.0,Violation,This constraint validates the cardinality of the association at the used direction.,Cardinality violation. Upper bound shall be 1 or missing required association.,"Property ConnectivityNode.ConnectivityNodeContainer has 0 values, minimum required is 1"
ConnectivityNode.ConnectivityNodeContainer-cardinality,fe850064-97a7-89ae-37e7-e67d935e7576,min_count,ConnectivityNode.ConnectivityNodeContainer,ConnectivityNode,1,0.0,Violation,This constraint validates the cardinality of the association at the used direction.,Cardinality violation. Upper bound shall be 1 or missing required association.,"Property ConnectivityNode.ConnectivityNodeContainer has 0 values, minimum required is 1"
ConnectivityNode.ConnectivityNodeContainer-cardinality,9c2788c0-6fdb-4463-b588-8e9b93c61946,min_count,ConnectivityNode.ConnectivityNodeContainer,ConnectivityNode,1,0.0,Violation,This constraint validates the cardinality of the association at the used direction.,Cardinality violation. Upper bound shall be 1 or missing required association.,"Property ConnectivityNode.ConnectivityNodeContainer has 0 values, minimum required is 1"
ConnectivityNode.ConnectivityNodeContainer-cardinality,636b98c2-ed10-4b29-af38-a6078d23f6f7,min_count,ConnectivityNode.ConnectivityNodeContainer,ConnectivityNode,1,0.0,Violation,This constraint validates the cardinality of the association at the used direction.,Cardinality violation. Upper bound shall be 1 or missing required association.,"Property ConnectivityNode.ConnectivityNodeContainer has 0 values, minimum required is 1"
ConnectivityNode.ConnectivityNodeContainer-cardinality,ea9e5264-0ee2-4e66-95b4-187f55c7860f,min_count,ConnectivityNode.ConnectivityNodeContainer,ConnectivityNode,1,0.0,Violation,This constraint validates the cardinality of the association at the used direction.,Cardinality violation. Upper bound shall be 1 or missing required association.,"Property ConnectivityNode.ConnectivityNodeContainer has 0 values, minimum required is 1"
ConnectivityNode.ConnectivityNodeContainer-cardinality,afbe77a6-7d5e-4c6e-997f-376e59218a75,min_count,ConnectivityNode.ConnectivityNodeContainer,ConnectivityNode,1,0.0,Violation,This constraint validates the cardinality of the association at the used direction.,Cardinality violation. Upper bound shall be 1 or missing required association.,"Property ConnectivityNode.ConnectivityNodeContainer has 0 values, minimum required is 1"
ConnectivityNode.ConnectivityNodeContainer-cardinality,8754e9f2-5c69-4df6-9b3a-9029676cb571,min_count,ConnectivityNode.ConnectivityNodeContainer,ConnectivityNode,1,0.0,Violation,This constraint validates the cardinality of the association at the used direction.,Cardinality violation. Upper bound shall be 1 or missing required association.,"Property ConnectivityNode.ConnectivityNodeContainer has 0 values, minimum required is 1"
ConnectivityNode.ConnectivityNodeContainer-cardinality,f6df8f62-0219-ac98-f9c4-92f09309586f,min_count,ConnectivityNode.ConnectivityNodeContainer,ConnectivityNode,1,0.0,Violation,This constraint validates the cardinality of the association at the used direction.,Cardinality violation. Upper bound shall be 1 or missing required association.,"Property ConnectivityNode.ConnectivityNodeContainer has 0 values, minimum required is 1"
ConnectivityNode.ConnectivityNodeContainer-cardinality,dd6c31ac-4252-e624-74d0-21d9c16309dc,min_count,ConnectivityNode.ConnectivityNodeContainer,ConnectivityNode,1,0.0,Violation,This constraint validates the cardinality of the association at the used direction.,Cardinality violation. Upper bound shall be 1 or missing required association.,"Property ConnectivityNode.ConnectivityNodeContainer has 0 values, minimum required is 1"
ConnectivityNode.ConnectivityNodeContainer-cardinality,f8b5f79d-5710-433c-974b-240d4e9d90b7,min_count,ConnectivityNode.ConnectivityNodeContainer,ConnectivityNode,1,0.0,Violation,This constraint validates the cardinality of the association at the used direction.,Cardinality violation. Upper bound shall be 1 or missing required association.,"Property ConnectivityNode.ConnectivityNodeContainer has 0 values, minimum required is 1"
ControlArea.type-cardinality,04f4d322-8b21-4ebb-9cba-a1afe92162ea,min_count,ControlArea.type,ControlArea,1,0.0,Violation,This constraint validates the cardinality of the property (attribute).,Cardinality violation. Upper bound shall be 1 or missing required property (type).,"Property ControlArea.type has 0 values, minimum required is 1"
